   M    BELSURF     ASURFEL        VOLSEL

   1   114.25800    0.2193E+05    0.0000E+00
   2   114.49500    0.3900E+05    0.7221E+04
   3   115.15800    0.5662E+05    0.3892E+05
   4   115.31600    0.7763E+05    0.4953E+05
   5   116.80400    0.1104E+06    0.1895E+06
   6   117.46000    0.1391E+06    0.2713E+06
   7   117.77900    0.1638E+06    0.3196E+06
   8   117.82200    0.1836E+06    0.3271E+06
   9   118.31500    0.2032E+06    0.4224E+06
  10   118.44000    0.2339E+06    0.4498E+06
  11   118.46200    0.2497E+06    0.4551E+06
  12   118.58500    0.2824E+06    0.4878E+06
  13   118.77700    0.3116E+06    0.5448E+06
  14   119.17300    0.3548E+06    0.6768E+06
  15   119.22800    0.4041E+06    0.6976E+06
  16   119.29100    0.4155E+06    0.7235E+06
  17   119.29500    0.4538E+06    0.7252E+06
  18   119.29700    0.4804E+06    0.7261E+06
  19   119.35600    0.5055E+06    0.7552E+06
  20   119.42100    0.5500E+06    0.7895E+06
  21   119.71800    0.5701E+06    0.9558E+06
  22   119.84600    0.5978E+06    0.1031E+07
  23   119.85300    0.6139E+06    0.1035E+07
  24   119.86400    0.6340E+06    0.1042E+07
  25   119.96900    0.6542E+06    0.1109E+07
  26   120.04600    0.6750E+06    0.1161E+07
  27   120.08100    0.7008E+06    0.1185E+07
  28   120.11000    0.7489E+06    0.1206E+07
  29   120.11700    0.7765E+06    0.1211E+07
  30   120.17300    0.8128E+06    0.1255E+07
  31   120.18000    0.8318E+06    0.1261E+07
  32   120.19000    0.8704E+06    0.1270E+07
  33   120.36300    0.8966E+06    0.1423E+07
  34   120.40700    0.9161E+06    0.1462E+07
  35   120.43500    0.9298E+06    0.1488E+07
  36   120.45800    0.9515E+06    0.1510E+07
  37   120.47300    0.9723E+06    0.1524E+07
  38   120.48300    0.9851E+06    0.1534E+07
  39   120.51400    0.1010E+07    0.1565E+07
  40   120.54900    0.1059E+07    0.1601E+07
  41   120.57900    0.1081E+07    0.1633E+07
  42   120.58200    0.1099E+07    0.1637E+07
  43   120.59200    0.1109E+07    0.1648E+07
  44   120.62400    0.1122E+07    0.1683E+07
  45   120.76400    0.1147E+07    0.1842E+07
