bin_file,description,bin_units,quan_type,conversion_factor,converted_units,field_name
surfcon.bin,Water Surface Elevation,meter,scalar,1,meter,WSE_m
velvec.bin,Horizontal Velocity,cm/sec,vector,0.01,m/sec,VEL_mps
taugcon.bin,Grain Stress,dynes/cm2,scalar,0.1,Pascals,TAUg_Pa
belvcon.bin,Bed Morphology,meter,scalar,1,meter,MPH_m
hbedcon.bin,Bed Delta,meter,scalar,1,meter,DEL_m
tsscon.bin,Total Suspended Solids,mg/L,scalar,1,mg/L,TSS_mgL
dyecon.bin,Rhodamine Dye,mg/L,scalar,1,mg/L,DYE_mgL
dyedep.bin,Dye Deposition,kg,scalar,1,kg,DYED_kg
qxgrid.bin,I Flow,m3/s,scalar,1,m3/s,QX_cms
qygrid.bin,J Flow,m3/s,scalar,1,m3/s,QY_cms
gridmask.bin,Mask,none,scalar,1,none,MASK
tauccon.bin,Critical Shear in Surface Layer,dynes/cm2,scalar,0.1,Pascals,TAUc_Pa
d50con.bin,D50 in Surface Layer,m,scalar,1.00E+06,microns,D50_um
hbed1con.bin,Bed layer #1 thickness,m,scalar,1.00E+02,cm,HBED1_cm
hbed2con.bin,Bed layer #2 thickness,m,scalar,1.00E+02,cm,HBED2_cm
hbed3con.bin,Bed layer #3 thickness,m,scalar,1.00E+02,cm,HBED3_cm
tauvec.bin,Total Stress,dynes/cm2,scalar,0.1,Pascals,TAUt_Pa
eratecon.bin,Erosion Rate,cm/s,scalar,1,cm/s,ERATE_cms
sedcdep01.bin,CDEP Cl1,kg/m2,scalar,1,kg/m2,CDEP1_kgm2
sedcdep02.bin,CDEP Cl2,kg/m2,scalar,1,kg/m2,CDEP2_kgm2
sedcdep03.bin,CDEP Cl3,kg/m2,scalar,1,kg/m2,CDEP3_kgm2
sedcdep04.bin,CDEP Cl4,kg/m2,scalar,1,kg/m2,CDEP4_kgm2
sedcdep05.bin,CDEP Cl5,kg/m2,scalar,1,kg/m2,CDEP5_kgm2
sedcero01.bin,CERO Cl1,kg/m2,scalar,1,kg/m2,CERO1_kgm2
sedcero02.bin,CERO Cl2,kg/m2,scalar,1,kg/m2,CERO2_kgm2
sedcero03.bin,CERO Cl3,kg/m2,scalar,1,kg/m2,CERO3_kgm2
sedcero04.bin,CERO Cl4,kg/m2,scalar,1,kg/m2,CERO4_kgm2
sedcero05.bin,CERO Cl5,kg/m2,scalar,1,kg/m2,CERO5_kgm2
sedcdept.bin,CDEPT,kg/m2,scalar,1,kg/m2,CDEP_kgm2
sedcerot.bin,CEROT,kg/m2,scalar,1,kg/m2,CERO_kgm2
