Cell_Index,Ecoli_cfu/100ml
0,1755.736476
1,1755.734836
2,1755.741788
3,1755.748914
4,1755.755525
5,1755.352223
6,1754.798985
7,1754.805972
8,1754.155237
9,1753.982632
10,1753.354619
11,1753.08442
12,1752.845343
13,1752.530874
14,1752.114346
15,1751.475286
16,1751.06159
17,1750.674123
18,1750.305134
19,1749.956783
20,1749.081264
21,1749.113001
22,1748.376282
23,1748.287329
24,1747.803591
25,1747.318111
26,1747.137451
27,1746.411662
28,1746.4167
29,1745.591865
30,1744.3353
31,1744.31365
32,1744.197781
33,1744.013022
34,1743.26795
35,1743.051311
36,1742.338755
37,1741.224474
38,1740.71488
39,1740.54283
40,1739.828583
41,1739.898443
42,1739.98654
43,1739.22426
44,1738.64569
45,1738.344759
46,1737.853859
47,1737.356704
48,1737.343738
49,1737.011189
50,1735.948403
51,1735.74057
52,1735.981093
53,1734.398161
54,1733.655783
55,1733.637583
56,1733.617994
57,1733.593463
58,1733.566715
59,1732.9198
60,1730.453819
61,1730.451822
62,1730.438962
63,1730.428586
64,1730.418726
65,1730.392195
66,1729.091455
67,1726.97325
68,1726.960831
69,1726.926396
70,1726.879238
71,1726.920042
72,1727.474168
73,1726.419299
74,1726.033504
75,1725.876881
76,1725.230944
77,1723.798958
78,1723.85968
79,1724.401654
80,1724.062835
81,1723.943282
82,1722.748486
83,1722.227939
84,1721.55599
85,1721.43265
86,1721.378633
87,1720.60471
88,1720.175029
89,1720.024818
90,1720.326629
91,1719.737764
92,1719.095392
93,1716.904104
94,1717.198428
95,1717.77924
96,1716.586912
97,1715.568653
98,1715.776864
99,1715.999296
100,1715.051474
101,1714.626148
102,1713.942697
103,1713.096637
104,1712.789344
105,1713.50499
106,1713.686363
107,1713.656749
108,1713.373547
109,1713.252113
110,1713.405425
111,1712.853528
112,1712.561679
113,1711.80629
114,1712.252096
115,1712.657173
116,1712.080012
117,1711.383122
118,1711.387714
119,1711.472002
120,1709.759212
121,1709.631477
122,1709.512472
123,1709.399394
124,1709.280634
125,1709.406554
126,1708.01288
127,1707.2482
128,1707.2482
129,1706.843108
130,1705.717952
131,1705.407073
132,1705.419496
133,1704.390345
134,1704.175449
135,1703.674874
136,1703.200907
137,1702.979889
138,1702.095608
139,1701.600798
140,1700.987857
141,1700.975709
142,1700.337256
143,1700.803528
144,1700.148207
145,1699.578599
146,1698.849369
147,1698.134722
148,1698.376471
149,1698.023366
150,1696.930917
151,1696.913447
152,1696.794821
153,1696.205554
154,1695.655418
155,1695.203409
156,1694.540149
157,1693.980263
158,1693.545831
159,1693.364656
160,1695.240589
161,1696.087642
162,1695.494932
163,1694.299293
164,1693.017992
165,1692.361794
166,1698.855642
167,1701.04868
168,1701.067473
169,1702.714206
170,1702.985614
171,1701.619696
172,1700.471171
173,1699.977714
174,1698.903358
175,1698.5044
176,1697.470934
177,1697.07
178,1699.19049
179,1702.8732
180,1702.369799
181,1705.376138
182,1705.621024
183,1706.464821
184,1705.760348
185,1704.057475
186,1705.283359
187,1706.681411
188,1706.460653
189,1707.363898
190,1708.839321
191,1708.211217
192,1707.655848
193,1706.809907
194,1706.722862
195,1715.896058
196,1714.419602
197,1715.403323
198,1716.537921
199,1716.45141
200,1715.511681
201,1714.401523
202,1714.819653
203,1713.951163
204,1712.375014
205,1709.331292
206,1709.468746
207,1710.103131
208,1712.151309
209,1715.009041
210,1715.98035
211,1715.216262
212,1714.482106
213,1714.308112
214,1713.899133
215,1714.671107
216,1714.130645
217,1712.429233
218,1710.044874
219,1706.346968
220,1704.1796
221,1702.302549
222,1702.520129
223,1706.266722
224,1708.182328
225,1707.217653
226,1707.162885
227,1705.809984
228,1703.483102
229,1702.486134
230,1701.22502
231,1699.754379
232,1699.728596
233,1700.599468
234,1702.339915
235,1702.509518
236,1700.286392
237,1695.398474
238,1695.680403
239,1697.322403
240,1699.306353
241,1701.206949
242,1703.291729
243,1702.627759
244,1699.872654
245,1698.414853
246,1698.05556
247,1697.914111
248,1695.704424
249,1691.390562
250,1690.962934
251,1689.353196
252,1691.225614
253,1692.481399
254,1692.640955
255,1691.289828
256,1690.180293
257,1690.339336
258,1689.986185
259,1687.690343
260,1687.895962
261,1687.986763
262,1688.21422
263,1688.291089
264,1688.505646
265,1688.553946
266,1687.876994
267,1687.018556
268,1686.275797
269,1685.376553
270,1684.551145
271,1684.299254
272,1683.883312
273,1683.268026
274,1682.849952
275,1682.396049
276,1681.966147
277,1681.511869
278,1680.882128
279,1679.933541
280,1679.619957
281,1678.617236
282,1676.871841
283,1676.118865
284,1675.510538
285,1673.8849
286,1673.484422
287,1674.552549
288,1675.414896
289,1675.271361
290,1675.561153
291,1674.066731
292,1671.601211
293,1671.167455
294,1671.68706
295,1670.490129
296,1669.54807
297,1669.393011
298,1669.097229
299,1668.32973
