Cell_Index,Concentration
0,12.45717924
1,12.43428538
2,12.37625873
3,12.31677717
4,12.26160048
5,12.21262012
6,12.15170795
7,12.0817542
8,12.06082035
9,12.16752172
10,12.19447029
11,12.14597975
12,11.96093899
13,11.91705858
14,11.95684604
15,11.81631029
16,11.68238953
17,11.66779907
18,11.70895313
19,11.7769258
20,11.69564558
21,11.71672935
22,11.6785609
23,11.67794375
24,11.69771048
25,11.66117959
26,11.62547895
27,11.72140278
28,11.724793
29,11.65597351
30,11.551133
31,11.54598525
32,11.51843549
33,11.58881649
34,11.66401494
35,11.60950911
36,11.60088047
37,11.56720846
38,11.43155283
39,11.4702363
40,11.63275602
41,11.65225686
42,11.67684808
43,11.76325288
44,11.72042906
45,11.63157461
46,11.69789099
47,11.77892313
48,11.77480009
49,11.80722959
50,11.83954558
51,11.76555262
52,11.85118369
53,11.92820364
54,11.91536338
55,11.90880303
56,11.90174191
57,11.89289925
58,11.88325727
59,11.82981599
60,11.61548432
61,11.61494167
62,11.6114464
63,11.60862624
64,11.60594651
65,11.59873556
66,11.49193787
67,11.31625618
68,11.31387205
69,11.30726179
70,11.29820931
71,11.30604219
72,11.41241424
73,11.32057353
74,11.26711377
75,11.24023707
76,11.17519254
77,11.02358958
78,11.03294014
79,11.12484971
80,11.12116522
81,11.12338847
82,11.05488048
83,10.98046184
84,10.91240429
85,10.92302637
86,10.94094378
87,10.86787303
88,10.81792552
89,10.82396276
90,10.87016073
91,10.82811758
92,10.75166775
93,10.60575731
94,10.64074423
95,10.70978657
96,10.66412313
97,10.58559536
98,10.6058517
99,10.63797734
100,10.55835072
101,10.53917317
102,10.5250848
103,10.43799301
104,10.45584435
105,10.54030492
106,10.5757417
107,10.58408611
108,10.57591916
109,10.58223004
110,10.60318052
111,10.56402616
112,10.53343676
113,10.54029092
114,10.58988862
115,10.65325156
116,10.66450518
117,10.57335947
118,10.57593975
119,10.67502203
120,10.66586129
121,10.63290797
122,10.6031609
123,10.58617728
124,10.57257095
125,10.58699767
126,10.44984063
127,10.37221
128,10.37221
129,10.33892029
130,10.24697969
131,10.22243738
132,10.22341811
133,10.15229294
134,10.13648539
135,10.10430439
136,10.07580291
137,10.06199469
138,10.00496473
139,9.972946955
140,9.938153094
141,9.93863803
142,9.909266372
143,9.942161342
144,9.900841111
145,9.863244411
146,9.819348039
147,9.779743451
148,9.794556284
149,9.776433451
150,9.7163697
151,9.715482951
152,9.709177376
153,9.676547347
154,9.649708065
155,9.625797135
156,9.588626831
157,9.562384695
158,9.543365818
159,15.48743901
160,40.73885918
161,60.57731372
162,65.46440119
163,65.24875384
164,61.05691508
165,59.19226741
166,80.06966193
167,87.11071859
168,87.17667379
169,90.92926123
170,90.87241718
171,86.92567193
172,83.74111839
173,82.78384745
174,80.18868424
175,79.23812
176,77.52277058
177,76.8573
178,82.65177192
179,92.71518
180,91.24274019
181,100.0183967
182,100.6959878
183,104.2933956
184,102.9370542
185,99.11035621
186,102.2479651
187,106.0573772
188,105.9992157
189,111.5072706
190,117.1053672
191,115.4581251
192,114.4597355
193,112.5567253
194,112.3314107
195,131.3319348
196,127.591781
197,130.6162386
198,133.5207583
199,133.7433919
200,131.6871168
201,129.496097
202,130.6535281
203,128.4914996
204,124.2912043
205,116.2668332
206,116.7990979
207,118.922362
208,124.3998353
209,131.4092515
210,135.0586399
211,134.6097707
212,134.723552
213,136.0719917
214,138.0086342
215,141.2167765
216,141.148779
217,139.7567445
218,135.2782077
219,128.9645836
220,126.4974328
221,124.6551848
222,125.2679615
223,131.6040559
224,136.1405261
225,134.6348614
226,135.1908533
227,133.7551145
228,130.1180125
229,129.3404612
230,127.6478383
231,126.5301378
232,126.8653533
233,128.9325304
234,132.2162844
235,133.3754771
236,130.4566257
237,126.6970008
238,127.0693711
239,131.9230717
240,134.743848
241,137.3657483
242,140.2417308
243,139.3257752
244,135.5333458
245,136.2529713
246,135.8608302
247,135.6751687
248,132.7752372
249,128.1364159
250,127.6363953
251,126.9165216
252,129.18797
253,130.6142519
254,130.752248
255,129.5771932
256,128.7300354
257,128.8969375
258,128.7752819
259,127.0920196
260,127.3038837
261,127.3974419
262,127.6318078
263,127.7110113
264,127.932084
265,127.8197911
266,126.0238993
267,125.0638866
268,124.2332405
269,123.2275944
270,122.3045201
271,122.0228246
272,120.2115605
273,119.1001113
274,118.6102642
275,118.0784357
276,117.5747298
277,117.0424617
278,116.1717674
279,114.6167727
280,114.2428892
281,113.0473561
282,110.4575568
283,109.4024268
284,108.6541195
285,106.4771082
286,105.823368
287,107.1550971
288,108.1935495
289,107.6845577
290,108.0476136
291,106.1753769
292,102.9785945
293,102.3842832
294,103.0372175
295,101.29958
296,99.98337817
297,99.7866282
298,99.3604346
299,98.11332004
300,98.6960937
301,99.33389604
302,99.42900791
303,100.4065093
304,100.5688952
305,100.2790766
306,100.4132015
307,100.3619867
308,100.525937
309,101.5079307
310,100.3478445
311,99.37941392
312,99.20962729
313,98.99407693
314,99.14548892
315,97.07685685
316,97.02998172
317,96.62312504
318,97.40956574
319,97.98018497
320,97.6285454
321,97.0025089
322,94.65305819
323,95.36079662
324,96.10095253
325,96.28314326
326,97.81301774
327,99.88033802
328,99.9917969
329,99.94046278
330,99.9044559
331,100.0172356
332,101.0982901
333,102.1061417
334,101.4784856
335,99.54026952
336,98.62591693
337,97.71748764
338,96.09935558
339,95.37761448
340,96.29898138
341,97.33372227
342,97.67865347
343,97.56044674
344,97.44959847
345,98.16402316
346,98.4307051
347,98.23377583
348,98.10130759
349,97.51182671
350,96.55446468
351,95.42065917
352,95.2644779
353,95.06044713
354,94.65784749
355,95.6144137
356,94.93044287
357,93.67218084
358,93.58500623
359,93.62808211
360,93.41677958
361,93.41201034
362,93.2444856
363,93.24351
364,93.24351
365,93.32148251
366,93.3658
367,93.3658
368,93.66779203
369,94.07123489
370,94.62678102
371,95.08146781
372,94.59017665
373,94.07869204
374,94.3349828
375,93.75417702
376,93.95483278
377,94.22356696
378,94.10279648
379,93.41169108
380,93.12631506
381,93.01746561
382,92.86705389
383,92.84372637
384,92.76880021
385,92.95720036
386,93.69842041
387,94.28183246
388,92.84194517
389,91.86448555
390,91.51340447
391,91.06406945
392,90.26711201
393,91.36605709
394,91.52973148
395,90.01131307
396,90.03163295
397,90.30726412
398,89.97359878
399,89.45993304
400,89.15228949
401,88.92582628
402,90.30433502
403,89.58006255
404,88.83299135
405,89.062533
406,89.30876
407,89.24657187
408,88.98217205
409,89.07519463
410,89.078255
411,89.06821397
412,88.61254238
413,88.49293184
414,88.40558774
415,88.40235
416,88.40235
417,88.40235
418,88.31481193
419,87.5420359
420,87.50291317
421,87.44866534
422,87.39746418
423,87.38508622
424,87.37652069
425,87.24402257
426,87.01296952
427,87.09371364
428,87.0997
429,87.0997
430,87.0997
431,86.89349026
432,86.487404
433,86.487404
434,86.487404
435,86.487404
436,86.487404
437,86.487404
438,86.42114248
439,86.34954067
440,86.3772429
441,86.40491881
442,86.43268516
443,86.46301917
444,86.47300278
445,86.04601299
446,85.93666715
447,85.92853
448,85.92853
449,85.92853
450,85.92853
451,85.87287621
452,85.70141
453,85.70141
454,85.70141
455,85.65796966
456,85.52845957
457,85.70141
458,85.60570576
459,85.47708
460,85.47708
461,85.47708
462,85.47708
463,85.47708
464,85.33433659
465,84.701454
466,84.701454
467,84.701454
468,84.701454
469,84.72135713
470,85.01282631
471,85.24646329
472,85.06863648
473,84.97673233
474,84.87147283
475,84.84204601
476,85.34572161
477,85.97556581
478,86.51526101
479,86.59338152
480,86.63856628
481,86.82248293
482,86.64608709
483,86.38940635
484,86.13482955
485,85.52019868
486,84.96298111
487,84.94206731
488,85.21733067
489,85.18718612
490,85.09348625
491,85.05273972
492,85.08536719
493,85.00664422
494,84.75046184
495,84.62056317
496,84.4569744
497,84.15256802
498,84.34679514
499,84.52479431
500,84.52513877
501,84.43504968
502,84.41888068
503,84.63320215
504,84.56395438
505,84.46468396
506,84.29181443
507,84.52760299
508,84.54556026
509,84.32630582
510,84.24800371
511,84.2385095
512,84.07274273
513,83.91285325
514,83.70059755
515,83.57941677
516,83.73185847
517,83.81428039
518,83.59053241
519,83.50380264
520,83.54498998
521,83.57500783
522,83.67533105
523,83.86055036
524,83.94515668
525,83.80942914
526,83.85203411
527,83.8715516
528,83.62631784
529,83.53722002
530,83.4147908
531,8.11922
532,8.11922
533,8.111762526
534,8.06453186
535,8.001998577
536,8.124071455
537,8.400176635
538,8.375585968
539,8.564743005
540,8.719043454
541,8.524908416
542,8.450247
543,8.436540086
544,8.417762252
545,8.418397748
546,8.61572
547,8.618486729
548,8.610368299
549,8.63299949
550,8.696194159
551,8.911704
552,8.911704
553,8.860482545
554,8.854317
555,8.912043568
556,8.963241
557,8.969612278
558,9.0081
559,9.032756455
560,9.248882591
561,9.528641651
562,9.486027
563,9.486027
564,9.58291619
565,9.710640062
566,9.702501
567,9.792491249
568,9.961786719
569,10.0728817
570,10.10773968
571,10.17883694
572,10.15724851
573,10.13716136
574,10.28237395
575,10.35615829
576,10.37729126
577,10.44720461
578,10.51691825
579,10.51825599
580,10.57147025
581,10.71587637
582,10.71173386
583,10.71606686
584,10.69150893
585,10.6826051
586,10.68202771
587,10.68055819
588,10.67967377
589,10.67823855
590,10.63221981
591,10.49682301
592,10.49726973
593,10.49760819
594,10.49794664
595,10.49816757
596,10.49837757
597,10.44248479
598,10.35782015
599,10.3578119
600,10.35783313
601,10.35784136
602,10.35756468
603,10.35675829
604,10.28475166
605,10.278448
606,10.278448
607,10.25539796
608,10.2124487
609,10.21230007
610,10.19868332
611,10.163608
612,10.15549046
613,10.1121037
614,10.12723707
615,10.11235271
616,10.08877565
617,10.06310743
618,10.04613582
619,10.0346376
620,9.995592286
621,9.991328792
622,10.02197248
623,10.0255723
624,9.9899276
625,9.985877714
626,9.973711171
627,9.938284804
628,9.938445605
629,9.935180499
630,9.914398493
631,9.912871669
632,9.928098942
