# 2006 NWS ASOS site KYNG, solar from PADEP at New Castle"
# wind height at 10 m
Date,Tair (degC),Tdew (degC),Wind Speed (m/s),Wind Direction (rad),Cloudiness (%),Solar Radiation (W/m2)
01/01/2006 00:00,0.6,-0.6,3.9,4.0,10.0,0.0
01/01/2006 01:00,0.6,-0.6,3.9,4.0,10.0,0.0
01/01/2006 02:00,1.1,-0.6,3.3,4.0,10.0,0.0
01/01/2006 03:00,1.1,-0.6,4.0,4.0,10.0,0.0
01/01/2006 04:00,1.1,-0.6,3.6,4.2,10.0,0.0
01/01/2006 05:00,1.1,-0.6,3.6,4.0,10.0,0.0
01/01/2006 06:00,1.1,-0.6,3.8,4.2,10.0,0.0
01/01/2006 07:00,1.1,-0.6,2.8,4.0,10.0,2.0
01/01/2006 08:00,1.1,-0.6,3.2,3.9,10.0,17.0
01/01/2006 09:00,1.2,-0.6,3.6,4.0,9.6,44.0
01/01/2006 10:00,1.7,-0.6,3.4,4.0,7.9,113.0
01/01/2006 11:00,1.8,-0.7,2.8,4.1,10.0,162.0
01/01/2006 12:00,2.2,-1.8,3.1,3.9,9.6,170.0
01/01/2006 13:00,2.3,-2.1,2.7,3.8,7.5,258.0
01/01/2006 14:00,2.9,-1.7,2.8,2.6,7.5,242.0
01/01/2006 15:00,3.4,-1.7,3.4,3.3,7.9,88.0
01/01/2006 16:00,3.8,-1.7,2.7,3.1,10.0,19.0
01/01/2006 17:00,3.3,-1.6,2.7,2.6,10.0,0.0
01/01/2006 18:00,3.2,-1.1,2.7,2.4,10.0,0.0
01/01/2006 19:00,2.8,-1.1,2.8,2.2,10.0,0.0
01/01/2006 20:00,2.8,-1.1,3.5,2.1,10.0,0.0
01/01/2006 21:00,2.8,-1.1,3.3,2.2,10.0,0.0
01/01/2006 22:00,2.9,-1.1,4.4,2.0,10.0,0.0
01/01/2006 23:00,3.3,-1.1,4.3,2.1,10.0,0.0
01/02/2006 00:00,3.3,-1.1,5.2,1.8,10.0,0.0
01/02/2006 01:00,3.3,-1.0,2.2,1.3,10.0,0.0
01/02/2006 02:00,3.4,-0.6,4.5,1.5,10.0,0.0
01/02/2006 03:00,3.9,-0.5,4.9,1.4,10.0,0.0
01/02/2006 04:00,3.8,0.0,4.7,1.4,10.0,0.0
01/02/2006 05:00,3.3,0.0,6.3,1.4,10.0,0.0
01/02/2006 06:00,3.2,0.2,5.8,1.3,10.0,0.0
01/02/2006 07:00,2.8,1.0,3.6,1.9,10.0,0.0
01/02/2006 08:00,2.8,0.7,6.3,1.6,10.0,4.0
01/02/2006 09:00,2.9,1.8,6.1,1.8,10.0,15.0
01/02/2006 10:00,3.4,2.3,5.1,1.9,10.0,25.0
01/02/2006 11:00,3.9,2.8,5.9,1.9,10.0,35.0
01/02/2006 12:00,3.9,2.9,6.0,1.9,10.0,34.0
01/02/2006 13:00,4.0,3.4,4.5,1.7,10.0,47.0
01/02/2006 14:00,4.5,3.9,4.7,1.6,10.0,18.0
01/02/2006 15:00,5.0,3.9,6.2,1.8,10.0,14.0
01/02/2006 16:00,5.0,3.9,6.0,1.8,10.0,7.0
01/02/2006 17:00,5.0,3.9,6.4,1.9,10.0,0.0
01/02/2006 18:00,5.0,3.9,5.1,1.5,10.0,0.0
01/02/2006 19:00,5.0,4.0,6.1,1.5,10.0,0.0
01/02/2006 20:00,5.0,4.4,4.9,1.9,10.0,0.0
01/02/2006 21:00,5.0,4.4,5.1,1.5,10.0,0.0
01/02/2006 22:00,5.0,3.9,6.3,1.4,10.0,0.0
01/02/2006 23:00,5.0,3.9,6.4,1.3,10.0,0.0
01/03/2006 00:00,5.0,3.9,4.7,1.4,10.0,0.0
01/03/2006 01:00,5.0,3.9,3.7,1.3,10.0,0.0
01/03/2006 02:00,5.0,3.8,4.7,1.7,10.0,0.0
01/03/2006 03:00,5.0,3.3,5.3,1.5,10.0,0.0
01/03/2006 04:00,5.0,3.3,2.7,1.8,10.0,0.0
01/03/2006 05:00,4.9,3.3,2.8,1.2,10.0,0.0
01/03/2006 06:00,4.4,3.3,3.5,1.1,10.0,0.0
01/03/2006 07:00,4.4,3.2,3.3,1.1,10.0,0.0
01/03/2006 08:00,4.4,2.7,4.7,1.3,10.0,8.0
01/03/2006 09:00,3.9,2.3,5.6,1.6,10.0,29.0
01/03/2006 10:00,4.0,2.8,4.4,1.9,10.0,55.0
01/03/2006 11:00,4.4,2.8,4.0,1.6,10.0,67.0
01/03/2006 12:00,4.5,2.8,3.9,1.8,10.0,79.0
01/03/2006 13:00,5.0,2.8,3.1,1.8,10.0,72.0
01/03/2006 14:00,5.0,2.7,2.3,1.5,10.0,40.0
01/03/2006 15:00,5.1,2.3,0.0,0.0,10.0,19.0
01/03/2006 16:00,5.5,2.8,0.4,0.3,10.0,9.0
01/03/2006 17:00,4.9,2.8,2.8,1.8,10.0,0.0
01/03/2006 18:00,4.4,2.8,3.2,2.2,10.0,0.0
01/03/2006 19:00,4.4,2.8,1.4,2.8,10.0,0.0
01/03/2006 20:00,4.4,2.8,2.0,2.7,10.0,0.0
01/03/2006 21:00,4.4,2.8,2.9,2.5,10.0,0.0
01/03/2006 22:00,4.4,2.8,1.9,2.9,10.0,0.0
01/03/2006 23:00,4.4,2.8,2.7,2.6,10.0,0.0
01/04/2006 00:00,4.4,2.8,2.8,2.5,10.0,0.0
01/04/2006 01:00,3.9,2.9,3.1,2.2,10.0,0.0
01/04/2006 02:00,3.9,3.3,2.9,2.4,10.0,0.0
01/04/2006 03:00,3.9,3.3,4.0,2.3,10.0,0.0
01/04/2006 04:00,4.0,3.4,4.0,2.5,10.0,0.0
01/04/2006 05:00,4.4,3.9,3.6,2.8,10.0,0.0
01/04/2006 06:00,4.5,4.0,3.9,2.8,10.0,0.0
01/04/2006 07:00,5.0,4.4,3.1,2.9,10.0,0.0
01/04/2006 08:00,5.1,4.5,3.3,2.6,10.0,8.0
01/04/2006 09:00,5.6,5.1,4.3,2.8,10.0,27.0
01/04/2006 10:00,6.3,5.6,5.9,2.8,10.0,42.0
01/04/2006 11:00,7.3,5.6,6.2,2.9,10.0,63.0
01/04/2006 12:00,7.7,5.6,5.8,3.7,10.0,55.0
01/04/2006 13:00,7.2,5.5,5.6,3.7,10.0,48.0
01/04/2006 14:00,7.1,5.0,4.5,3.8,10.0,30.0
01/04/2006 15:00,6.7,5.1,4.3,3.7,10.0,16.0
01/04/2006 16:00,6.7,5.6,3.1,3.6,10.0,6.0
01/04/2006 17:00,6.7,5.6,3.3,3.3,10.0,0.0
01/04/2006 18:00,6.7,5.6,4.5,3.4,10.0,0.0
01/04/2006 19:00,6.7,5.6,4.8,3.7,10.0,0.0
01/04/2006 20:00,6.7,5.6,4.2,4.0,10.0,0.0
01/04/2006 21:00,6.6,5.4,5.4,4.2,10.0,0.0
01/04/2006 22:00,6.1,4.4,7.9,4.5,10.0,0.0
01/04/2006 23:00,6.0,4.4,7.0,4.2,10.0,0.0
01/05/2006 00:00,5.4,3.7,6.7,4.4,10.0,0.0
01/05/2006 01:00,4.4,2.6,9.1,4.7,10.0,0.0
01/05/2006 02:00,3.8,1.7,7.0,4.3,10.0,0.0
01/05/2006 03:00,3.3,1.7,6.3,4.2,10.0,0.0
01/05/2006 04:00,3.3,1.6,6.4,4.3,10.0,0.0
01/05/2006 05:00,3.3,0.9,7.2,4.2,10.0,0.0
01/05/2006 06:00,3.2,0.1,6.8,4.4,10.0,0.0
01/05/2006 07:00,2.2,0.6,4.9,4.5,10.0,0.0
01/05/2006 08:00,2.2,1.1,4.5,4.4,10.0,12.0
01/05/2006 09:00,2.2,1.1,4.9,4.5,10.0,33.0
01/05/2006 10:00,2.2,1.0,4.5,4.6,10.0,51.0
01/05/2006 11:00,2.2,0.6,4.9,4.7,10.0,60.0
01/05/2006 12:00,2.2,0.6,4.9,4.7,10.0,84.0
01/05/2006 13:00,2.2,0.6,4.7,4.9,10.0,84.0
01/05/2006 14:00,2.1,0.5,3.9,5.2,10.0,44.0
01/05/2006 15:00,1.7,0.0,5.5,5.1,10.0,26.0
01/05/2006 16:00,1.7,0.0,3.6,5.1,10.0,8.0
01/05/2006 17:00,1.6,0.0,3.6,5.3,10.0,0.0
01/05/2006 18:00,1.0,-0.1,3.6,5.4,10.0,0.0
01/05/2006 19:00,0.6,-0.6,4.3,5.5,10.0,0.0
01/05/2006 20:00,0.5,-1.1,5.9,5.7,10.0,0.0
01/05/2006 21:00,-0.1,-1.2,6.2,5.6,10.0,0.0
01/05/2006 22:00,-0.6,-1.8,6.2,5.8,10.0,0.0
01/05/2006 23:00,-0.6,-2.3,7.9,5.7,10.0,0.0
01/06/2006 00:00,-1.2,-2.9,7.2,5.6,10.0,0.0
01/06/2006 01:00,-1.7,-3.6,7.2,5.7,10.0,0.0
01/06/2006 02:00,-1.8,-5.0,7.1,5.6,10.0,0.0
01/06/2006 03:00,-2.3,-5.0,6.6,5.6,10.0,0.0
01/06/2006 04:00,-2.8,-5.1,6.0,5.5,10.0,0.0
01/06/2006 05:00,-2.9,-5.6,4.9,5.3,10.0,0.0
01/06/2006 06:00,-3.5,-6.2,7.1,5.7,10.0,0.0
01/06/2006 07:00,-4.4,-6.8,6.6,5.4,10.0,3.0
01/06/2006 08:00,-4.5,-7.9,6.2,5.3,9.6,39.0
01/06/2006 09:00,-4.9,-8.2,5.6,5.6,7.9,139.0
01/06/2006 10:00,-4.4,-7.7,4.7,5.4,10.0,166.0
01/06/2006 11:00,-4.4,-7.2,5.7,5.4,9.6,156.0
01/06/2006 12:00,-4.4,-7.5,5.1,5.6,7.9,194.0
01/06/2006 13:00,-4.4,-8.8,5.6,5.4,10.0,264.0
01/06/2006 14:00,-4.4,-8.5,4.5,5.2,9.6,185.0
01/06/2006 15:00,-4.4,-9.3,5.1,5.2,7.5,106.0
01/06/2006 16:00,-4.5,-8.5,5.5,5.8,7.5,27.0
01/06/2006 17:00,-5.1,-9.1,3.8,5.2,7.9,2.0
01/06/2006 18:00,-5.6,-7.5,3.0,5.2,10.0,0.0
01/06/2006 19:00,-5.6,-9.0,4.4,4.7,10.0,0.0
01/06/2006 20:00,-6.1,-9.4,4.0,4.5,10.0,0.0
01/06/2006 21:00,-6.1,-9.4,4.0,4.2,10.0,0.0
01/06/2006 22:00,-6.1,-9.4,3.5,4.3,10.0,0.0
01/06/2006 23:00,-6.1,-9.4,3.3,3.8,10.0,0.0
01/07/2006 00:00,-6.0,-9.0,3.9,3.8,10.0,0.0
01/07/2006 01:00,-5.6,-9.3,3.3,3.5,10.0,0.0
01/07/2006 02:00,-5.5,-8.3,4.0,3.3,10.0,0.0
01/07/2006 03:00,-5.0,-8.3,3.6,3.5,10.0,0.0
01/07/2006 04:00,-4.9,-8.3,3.6,3.3,10.0,0.0
01/07/2006 05:00,-4.4,-8.3,3.7,3.5,10.0,0.0
01/07/2006 06:00,-4.4,-8.3,4.5,3.3,10.0,0.0
01/07/2006 07:00,-4.4,-8.2,4.9,3.3,10.0,2.0
01/07/2006 08:00,-3.8,-7.7,4.7,3.5,10.0,24.0
01/07/2006 09:00,-3.2,-7.2,5.8,3.6,10.0,48.0
01/07/2006 10:00,-2.8,-7.1,5.8,3.5,10.0,65.0
01/07/2006 11:00,-2.8,-6.5,5.8,3.5,10.0,66.0
01/07/2006 12:00,-2.7,-5.6,5.9,3.5,10.0,52.0
01/07/2006 13:00,-2.2,-5.5,6.2,3.5,10.0,42.0
01/07/2006 14:00,-2.1,-4.9,5.8,3.5,10.0,48.0
01/07/2006 15:00,-1.7,-4.4,5.5,3.4,10.0,33.0
01/07/2006 16:00,-1.7,-4.4,4.0,3.6,10.0,10.0
01/07/2006 17:00,-1.7,-3.9,3.6,3.4,10.0,0.0
01/07/2006 18:00,-1.6,-3.8,3.6,3.6,10.0,0.0
01/07/2006 19:00,-1.1,-3.2,4.0,3.1,10.0,0.0
01/07/2006 20:00,-1.1,-2.8,3.5,3.2,10.0,0.0
01/07/2006 21:00,-1.0,-2.7,3.1,3.6,10.0,0.0
01/07/2006 22:00,-0.6,-2.1,3.1,4.0,10.0,0.0
01/07/2006 23:00,-0.5,-1.7,3.2,4.2,10.0,0.0
01/08/2006 00:00,0.0,-1.7,3.6,4.4,10.0,0.0
01/08/2006 01:00,0.0,-1.7,3.6,4.5,10.0,0.0
01/08/2006 02:00,0.0,-1.7,3.6,4.4,10.0,0.0
01/08/2006 03:00,0.0,-1.7,3.6,4.5,10.0,0.0
01/08/2006 04:00,0.0,-1.7,3.5,4.3,10.0,0.0
01/08/2006 05:00,0.0,-1.7,3.1,4.0,10.0,0.0
01/08/2006 06:00,0.0,-1.8,2.5,4.1,10.0,0.0
01/08/2006 07:00,-0.2,-2.2,1.4,3.6,10.0,3.0
01/08/2006 08:00,-0.9,-2.2,1.9,2.5,10.0,30.0
01/08/2006 09:00,0.1,-2.2,2.8,2.7,10.0,99.0
01/08/2006 10:00,0.6,-2.2,3.1,2.3,10.0,139.0
01/08/2006 11:00,1.2,-2.2,3.4,2.2,10.0,191.0
01/08/2006 12:00,1.8,-2.1,5.1,2.1,10.0,196.0
01/08/2006 13:00,2.4,-1.6,5.6,2.2,9.6,167.0
01/08/2006 14:00,3.3,-1.1,4.9,2.4,7.5,135.0
01/08/2006 15:00,3.3,-1.1,7.0,2.1,7.5,87.0
01/08/2006 16:00,3.2,-1.2,6.3,2.1,7.5,29.0
01/08/2006 17:00,2.7,-1.7,6.2,2.1,6.9,2.0
01/08/2006 18:00,2.3,-1.7,3.4,2.2,4.3,0.0
01/08/2006 19:00,2.9,-1.7,5.1,1.9,7.5,0.0
01/08/2006 20:00,3.4,-1.7,5.9,1.8,7.9,0.0
01/08/2006 21:00,4.0,-1.7,6.1,2.0,10.0,0.0
01/08/2006 22:00,4.9,-1.6,5.1,2.4,10.0,0.0
01/08/2006 23:00,7.2,-1.1,5.6,3.0,9.6,0.0
01/09/2006 00:00,7.3,-1.0,4.7,3.0,6.9,0.0
01/09/2006 01:00,7.8,-0.5,5.6,3.3,3.8,0.0
01/09/2006 02:00,8.1,0.3,4.9,3.8,3.8,0.0
01/09/2006 03:00,10.0,2.3,7.2,3.9,3.8,0.0
01/09/2006 04:00,9.9,2.8,7.0,4.0,3.6,0.0
01/09/2006 05:00,9.4,2.8,6.0,3.9,2.8,0.0
01/09/2006 06:00,8.7,2.7,6.6,4.1,2.0,0.0
01/09/2006 07:00,7.8,2.1,6.2,4.4,2.6,2.0
01/09/2006 08:00,7.6,1.8,6.2,4.7,10.0,31.0
01/09/2006 09:00,6.2,1.9,7.9,4.6,10.0,20.0
01/09/2006 10:00,3.8,-0.1,4.5,5.1,10.0,26.0
01/09/2006 11:00,3.3,-0.6,4.8,5.2,10.0,162.0
01/09/2006 12:00,3.2,-0.6,4.0,5.2,10.0,67.0
01/09/2006 13:00,2.1,-1.1,4.2,5.1,10.0,37.0
01/09/2006 14:00,1.7,-1.1,4.8,5.1,10.0,52.0
01/09/2006 15:00,1.7,-1.1,4.0,5.0,10.0,22.0
01/09/2006 16:00,1.7,-1.2,3.7,4.8,10.0,7.0
01/09/2006 17:00,1.7,-1.7,4.2,5.0,10.0,0.0
01/09/2006 18:00,1.7,-1.6,2.7,4.6,10.0,0.0
01/09/2006 19:00,1.7,-1.1,2.8,4.7,10.0,0.0
01/09/2006 20:00,1.8,-1.1,3.5,4.4,10.0,0.0
01/09/2006 21:00,2.1,-1.2,5.4,4.5,10.0,0.0
01/09/2006 22:00,1.8,-1.8,3.1,4.5,10.0,0.0
01/09/2006 23:00,2.1,-2.1,3.2,4.5,10.0,0.0
01/10/2006 00:00,1.7,-1.5,3.6,4.3,10.0,0.0
01/10/2006 01:00,1.6,-0.5,3.4,4.2,10.0,0.0
01/10/2006 02:00,1.1,0.0,2.5,4.2,10.0,0.0
01/10/2006 03:00,1.1,0.0,1.1,1.9,10.0,0.0
01/10/2006 04:00,1.1,-0.1,0.0,0.0,10.0,0.0
01/10/2006 05:00,1.1,-0.6,0.2,0.5,10.0,0.0
01/10/2006 06:00,1.1,-0.6,1.3,3.3,10.0,0.0
01/10/2006 07:00,1.1,-0.6,1.1,2.8,10.0,2.0
01/10/2006 08:00,1.2,-0.6,0.0,0.0,10.0,28.0
01/10/2006 09:00,1.7,-1.4,0.2,0.5,10.0,89.0
01/10/2006 10:00,1.9,-2.7,1.7,3.3,10.0,147.0
01/10/2006 11:00,3.3,-2.2,3.7,3.0,10.0,244.0
01/10/2006 12:00,3.6,-2.6,4.5,2.8,10.0,334.0
01/10/2006 13:00,5.0,-4.8,4.5,3.1,9.6,362.0
01/10/2006 14:00,5.1,-3.6,4.3,2.7,7.5,266.0
01/10/2006 15:00,5.6,-1.7,3.5,2.5,7.5,137.0
01/10/2006 16:00,5.6,-1.7,3.1,2.6,7.5,33.0
01/10/2006 17:00,5.5,-1.6,3.3,2.2,7.9,2.0
01/10/2006 18:00,5.0,-1.1,4.2,2.1,10.0,0.0
01/10/2006 19:00,5.0,-1.0,4.8,2.3,10.0,0.0
01/10/2006 20:00,4.9,-0.3,4.1,2.4,10.0,0.0
01/10/2006 21:00,4.5,1.1,4.5,2.1,10.0,0.0
01/10/2006 22:00,5.2,1.1,4.9,2.1,10.0,0.0
01/10/2006 23:00,6.8,1.1,5.1,2.3,10.0,0.0
01/11/2006 00:00,7.4,1.3,5.5,2.3,10.0,0.0
01/11/2006 01:00,8.5,2.3,4.3,2.6,10.0,0.0
01/11/2006 02:00,9.4,2.9,5.7,2.6,10.0,0.0
01/11/2006 03:00,9.5,3.4,5.1,2.8,10.0,0.0
01/11/2006 04:00,10.0,4.0,6.2,2.8,10.0,0.0
01/11/2006 05:00,10.0,4.5,5.5,3.0,10.0,0.0
01/11/2006 06:00,10.0,5.1,4.0,3.1,10.0,0.0
01/11/2006 07:00,10.0,5.6,3.6,3.0,10.0,0.0
01/11/2006 08:00,10.1,6.2,4.3,3.1,9.6,30.0
01/11/2006 09:00,10.6,6.8,5.8,3.1,6.9,83.0
01/11/2006 10:00,11.2,7.3,5.8,3.0,4.7,212.0
01/11/2006 11:00,11.6,7.6,6.0,3.2,10.0,108.0
01/11/2006 12:00,11.1,6.6,6.7,3.7,10.0,147.0
01/11/2006 13:00,11.1,6.1,6.3,3.7,10.0,88.0
01/11/2006 14:00,10.4,5.8,4.7,4.0,10.0,36.0
01/11/2006 15:00,6.6,3.8,8.2,4.2,10.0,44.0
01/11/2006 16:00,6.0,3.1,6.2,4.1,10.0,26.0
